,client_id,prof_id,job,months,description
40,12,4,Главный ветеринарный врач,10000,"Организация деятельности ветслужбы предприятия, ведение журналов составление планов и отчетов, лечебная деятельность. Работа с крупным рогатым скотом"
41,12,3,Старший ветеринарный врач,16,"Ведение журналов, составление планов и отчетов, лечебно-профилактические мероприятия. работа с крупным рогатым скотом"
42,12,2,Ветеринарный врач,17,Лечебно-профилактические мероприятия. Работа на яичной птицефабрике
43,12,1,Ветеринарный врач,33,Лечебно-профилактические мероприятия. Работа с крупным рогатым скотом
44,13,1,Главный агроном,145,Проведение подготовки и высева семян зерновых культур. Контроль проведения хим прополка. Контроль за качеством уборки урожая и закладки семян на хранение. Подготовка документации и продажа качественных семян зерновых культур.
45,14,4,Управляющий КФХ,10000,Разведение КРС (увеличение численности поголовья скота за время работы более чем в 2 раза) Расчет кормовой базы Проведение ветеринарно-зоотехнических мероприятий Зоотехнический учет Проведение мер по сокращению издержек
46,14,3,Продавец,5,"Расчет покупателей на кассе, мерчендайзинг, разгрузка машины, приемка товара, проведение инвентаризации. Имеется медицинская книжка."
47,14,2,водитель- электрик,13,Прохождение срочной военной службы.
48,14,1,Менеджер по рекламе,19,"Разработка и ведение базы клиентов Холодные и горячие звонки Проведение презентаций компании Согласование рекламных конструкций Проведение замеров Разработка тех. задания для дизайнеров Монтаж наружной рекламы Контроль коммерческих условий заключаемых соглашений, договоров и контрактов"
49,15,3,Машинист экскаватора 6 разряда,10000,Погрузка и выгрузка лома
50,15,2,Машинист перегружателя лома,9,Погрузка и выгрузка лома
51,15,1,Тракторист-машинист. Экскаваторщик,8,Работа с сельхозтехникой. Пагрузчик и экскаватор
52,16,4,Заведующий фермой,10000,"-Ответственность за техническое и функциональное состояние производственных мощностей, за работу персонала, материальные ценности, наличие и численность поголовья, организация и контроль устранения нештатных ситуаций -Организация соблюдения работниками производственной, трудовой дисциплины, обеспечивает выполнение правил по охране труда, технике безопасности, противопожарной защите и производственной санитарии"
53,16,3,Ветеринарный врач,38,"1. Осмотр животных и диагностирование их болезней и повреждений. 2. Исследование причин возникновения, процессов протекания болезней животных, разборку методов их лечения и профилактики. 3. Терапевтическое и хирургическое лечение животных. 4. Применение лекарственных средств при лечении животных, высокоэффективные ветеринарные препараты и методы ветеринарного воздействия. 5. Контроль выполнения зоогигиенических и ветеринарных правил при содержании, кормлении животных и уходе за ними на стационарном лечении. 6. Проведение ветеринарно-санитарной экспертизы скота 7. Осуществление руководства подчиненными ему работниками ветеринарного учреждения."
54,16,2,ветеринарный врач,8,Диагностика и лечение болезней молодняка
55,16,1,Командир отделения,13,-
56,17,4,"Тракторист Категории ""С"" погрузчик",2,"В 2018 г. прошел практику в Калевальском ДРСУ ГУП РК ""Мост"" по специальности «Машинист самоходной машины категории «С» с дополнительной отметкой «Погрузчик»."
57,17,3,"Руководитель, мастер.",20,"В 2016 г. открыл организацию «Мастер на час», оказывая бытовые услуги населению в п.Калевала. Проработал в этой сфере до 2017 года, зарекомендовав себя с положительной стороны у населения. В связи с экономическим положением в районе дело не пошло."
58,17,2,Продавец-консультант,19,"В 2015 г. работал продавцом-консультантом в ООО «А.НИК», в строительном магазине."
59,17,1,"Тракторист, помощник фермера.",30,В 2010 г. после получения дополнительной специальности в г.Теува (Финляндия) работал трактористом на ферме индивидуального предпринимателя. Прекрасно справлялся с поставленными задачами.
60,18,1,Главный инженер,10000,"Организация, координация с другими службами предприятия службы главного инженера (автоцех, стройцех, котельная, участок ТВС(очистные сооружения и коммуникации),холодильник."
61,19,11,Технический директор,10000,Разработка строительство и запуск линии производства приманок для рыбы. Модернизация линии переработки подсолнечника
62,19,10,"Главный технолог, главный инженер",15,(1 год 3 месяц) Строительство и запуск производства жирных кислот с нулевого уровня. Вывод предприятия на 2-е место по производительности в ЦЧР .Отгрузка продукции в страны ЕС Создание коллектива и его обучение. Контроль технологических параметров. Разработка инженерных систем по улучшению качества продукции. Создание и запуск лаборатории.
63,19,9,Директор по производству,18,(1 год 6 месяцев) Исполнение производственного плана. Модернизация производства. Управление и мотивация коллективом.Внедрение инструментов бережливого производства. Запуск комбикормового цеха и линии гранулирования.
64,19,8,Инженер . Проблемная лаборатория аквакультур.,25,"(2 года 1 месяц) Разработка, изготовление, испытания и лабораторный анализ систем для очистки воды и сточных вод (озонирование, производство анолита и тд). Разведение осетровых - исследование кормов, качества воды и тд."
65,19,7,директор,8,(8 месяцев) Производство жирных кислот в малых объемах
66,19,6,Исполнительный директор,14,(1 год 2 месяца) Переработка масленичного сырья.Закупка сырья. Создание В2В продаж масла и жмыха. Исполнение производственного плана.Модернизация производства. Руководство производством.
67,19,5,Директор,43,"(3 года 7 месяцев) Строительство и запуск производства жирных кислот с нулевого уровня. Вывод предприятия на 1-е место в ЦЧР. Запуск продаж, в том числе и в ЕС. Создание коллектива, его обучение и мотивация. Внедрение инструментов бережливого производства.Подбор материалов и оборудования отвечающем высокой химической агрессивности и температуре производства."
68,19,4,"Руководитель проектов, Начальник отдела по эксплуатации.Москва",10,"Подбор и строительство 2-х магазинов ""Копеечка"" в ЦЧР. Техническое обслуживание и эксплуатация 12 магазинов ""Копеечка"" в Москве. Нестандартное решение технического подключения электрических мощностей к новым магазинам в Москве ."
69,19,3,"Ген. директор, директор по развитию, зам ген директора",73,"Увеличение поголовья в 20 раз. Вывод птицефабрики на 1 место в Воронежской области по производительности и продуктивности, руководство коллективом 200 человек. Строительство мех складов для зерна, зерносушилки и подработки зерна. Строительство комбикормового производства. Контроль качества кормов и снижение их стоимости на 25 %.Лично все проектировал и производил шеф-монтаж без субподрядчиков. Работа в программе ""Корм Оптима"" составление рационов кормов."
70,19,2,Главный инженер,9,"(9 месяцев) Проектирование, подбор площадки и оборудования, руководство строительством и пуском МПЗ «Рамоньский» (маслозавод сдан в эксплуатацию), с нулевого уровня ."
71,19,1,"Гл. инженер ,гл. технолог",25,"(2 года 1 месяц) Проектирование, подбор площадки, руководство строительством маслозавода и эксплуатация маслозавода с нулевого уровня. В дальнейшем ГК ""Маслопродукт"" заняла 5 место в РФ по производству масла. Построил полностью все пр-во (проектирование и подбор технологического оборудования, подбор персонала, монтаж , наладка и пуск пр-ва."
72,20,3,Механник 2008-2010гг Гл.механник 2008-2016 гг,97,"Планирование перевозок груза .Ремонт автотранспорта , Содержание в исправном состоянии, проведение плановых ремонтов и технических обслуживаний . Контроль за выполнением ТБ и ОТ при проведении ремонта автотранспорта .Ведение документации по ОТ и ТБ .Контроль за использованием ГСМ ,списанием согласно норм расхода.Контроль за своевременной сдачей и правильным оформлением путевых листов и др.отчетных документов. Контактный телефон 89173408218 Гареева Любовь Ивановна директор ООО""Усолье"""
73,20,2,Мастер участка малой механизации,27,"Планирование работы спецтехники .Ремонт обслуживание закрепленной техники .Соблюдение правил ОТ и ТБ на участке. Перевозки негабаритных грузов по Башкирии, согласование маршрутов перевозки. Контроль за расходом ГСМ оформление сопровоительной документации."
74,20,1,Заведующий гаражом,135,Распределение автотранспорта по заявкам.Планирование текущего ремонта и обслуживания автотранспорта.Контроль за проведением ремонта транспорта. Соблюдение ОТ и ТБ в автогараже. Содержание зданий и сооружений в исправном состоянии. Подготовка и проведение ежегодного техосмотра автотранспорта.
75,21,2,Технолог пищевого производства,10000,"- Осуществлять контроль за соблюдением работниками технологической дисциплины, правильной эксплуатацией оборудования. Составлять планы размещения оборудования, технического оснащения и организации рабочих мест, рассчитывать производственные мощности и загрузку оборудования. Разрабатывать технологические нормативы, рабочие инструкции, разработка спецификации на сырье и материалы, технологические карты и др. технологическую и методическую документацию. Участвовать в проведении экспериментальных работ по освоению новых технологических процессов и внедрению их в производство. Вносить изменения в техническую документацию в связи с корректировкой технологических процессов и режимов производства. Координировать работу участков цеха, принимать меры по предупреждению и устранению нарушений хода производственного процесса. анализировать причины брака и выпуска продукции низкого качества. Проводить инструктаж с мастерами и рабочими по всем технологическим вопросам. Принятие участия в работе по расширению и обновлению ассортимента выпускаемой продукции. Контроль за соблюдение нормативных выходов продукции и вспомогательных материалов. Контроль за соблюдением рецептур и технических условий выпускаемой продукции. Координация работы работников цеха. Отслеживание минимальных остатков по сырью и готовой продукции.."
76,21,1,"мастер отделения подготовки сырья, мастер участка деликатесной продукции, мастер участка формовки, технолог колбасного цеха.",70,"-Организация и контроль работы цеха для выполнения сменного задания по качеству и количеству. Прием сырья и материалов. Контроль за соблюдением технологических процессов, оперативное выявление и устранение причин нарушения. Планирование работ, контроль качества и объема работ, ведения табеля, контроль соблюдения ТБ. Анализ результата производственной деятельности, обеспечение правильности и своевременности оформления первичных документов по учету рабочего времени, выработке."
77,22,5,Индивидуальный предприниматель,25,Предпринимательская деятельность в сфере розничной торговли
78,22,4,Продавец-консультант,4,"Выкладка товара, проверка сроков годности, инвентаризация, консультация клиентов, расчёт на кассе."
79,22,3,Зоотехник-селекционер,27,"Работа в производственных программах Селекс, DairyComp, Moomonitor, 1C Контроль за кормлением и содержанием молодняка КРС, реализация"
80,22,2,Продавец-консультант,5,"Консультирование клиентов, участие в инвентаризации, поддержание порядка в зале, выкладка товара."
81,22,1,Вожатый собак,5,Помощь клиентам по выгулу собак
82,23,7,инженер-механик-наладчик,10000,"- ремонт станков с чпу токарной группы - ремонт станков с чпу фрезерной группы - ремонт 5 координатных обрабатывающих центров. - проверка станков на тех точность и доведения их до заданных значений. - ремонт станка чпу гидрообразивной резки - ремонт электроэрозионных станков чпу - а так же ремонт и наладка сложного оборудования ( дробеструйные камеры упрочнения, камеры виброупрочнения, шлифовальные станки)"
83,23,6,Сервисный инженер,11,"- выезд и ремонт сельскохозяйственной техники. - проведение предпродажной подготовки техники Ростсельмаш, Лидаагропроммаш, Белагромаш - сервис, Червона зирка. - проведение гарантийного ремонта и ввода в эксплуатацию; настройка в поле. - оказание платных услуг по ремонту с/х техники."
84,23,5,гл инженер,37,"- организация ремонта с/х техники, - планирование и обеспечение хозяйства ГСМ,снабжение запчастями для техники, планирование ТО - ведение отчетной документации (управление с/х) - взаимодействия с контролирующими органами - обеспечение бесперебойной работы машинотракторного парка, - проведение тех осмотров, - управление коллективом более 20 человек - опыт работы в режиме многозадачности"
85,23,4,инженер механик,5,- ведение отчетной документации - ведение журнала путевых листов - обеспечение бесперебойной работы молочно товарного комплекса - ремонт техники и оборудование
86,23,3,слесарь по ремонту грузовых автомобилей 3 разряда,3,"- ремонт грузовых автомобилей российского и иностранного производства, - слесарные работы, - проведение ТО"
87,23,2,механизатор-водитель,30,"- обслуживание и эксплуатация с\х техники, спец техники, автомобилей - ремонт дизельных двигателей,"
88,23,1,тракторист-машинист,2,"- ремонт, обслуживание и эксплуатация сельхоз техники и оборудования."
89,24,3,главный ветеринарный врач,28,"организация профилактических, ветеринарно-санитарных и лечебных мероприятий, определение количества и номенклатуры требуемых ветеринарных препаратов, контроль выполнения зоогигиенических и ветеринарных правил при содержании, кормлении животных, ведение отчетной и учетной ветеринарной документации, работа с государственной ветслужбой, проведение карантинных мероприятий, курирование и организация работы ветврачей на предприятии."
90,24,2,микробиолог,109,"производство ветеринарных диагностиков, работа с лабораторными животными, осуществление отбора проб и направление в лабораторию, контроль за соблюдением санитарного состояния помещений, проведение лабораторных исследований, внедрение новых технологий в производство."
91,24,1,главный ветеринарный врач,25,"организация и проведение лечебно-профилактических мероприятий, определение количества и номенклатуры требуемых ветеринарных препаратов, контроль выполнения зоогигиенических и ветеринарных правил при содержании, кормлении животных, ведение отчетной и учетной ветеринарной документации, работа с государственной ветслужбой."
92,25,9,Инженер по спецтехнике,10000,"Обслуживание, ремонт парка автомобилей. Организация снабжением запасных частей. Контроль работы водителей."
93,25,8,Механик,9,"Обеспечение бесперебойной работы автотранспортного парка. Взаимодействие с ГИБДД, Гостехнадзором Планирование и контроль провидение ТО, выпуск транспортных средств на линию. Закупка, контроль, установка и списание запасных частей, ГСМ."
94,25,7,Механик,15,"Обеспечение бесперебойной работы автотранспортного парка (DAF, Freightliner, Caterpillar) Взаимодействие с ГИБДД, Гостехнадзором. Планирование и контроль провидение ТО, выпуск и контроль транспортных средств работы на линии. Закупка, контроль, установка и списание запасных частей, ГСМ. Работа с сервисными организациями."
95,25,6,Механик,9,"Обеспечение бесперебойной работы автотранспортного парка. Взаимодействие с ГИБДД, Гостехнадзором Планирование и контроль провидение ТО, выпуск транспортных средств на линию. Закупка, контроль, установка и списание запасных частей, ГСМ."
